"","Saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",3,3622.9373452901164,57.77836235403022,-2809.7931334348805,-156.0870443823266,81.45551663975282,208.2923720237198,-68.8253597239437
"error",0,0.5768974891250467,"",13.88053961935676,0.06246457031152647,1.8546966088959431,38.61873960410226,1.7589771151697353
"",3,3623.5571377031392,55.46740259218636,-2810.1974225488166,-156.09923834413823,83.04562839371317,210.27546742774985,-68.94685118243493
"",3,3623.7703147025672,55.11555846620456,-2808.2400486975785,-156.11132869423145,82.31072503973938,208.19706122774014,-68.7375691916457
"",3,3622.8007927691324,58.684609838104876,-2809.53084201284,-155.90564143170533,81.63007856641062,204.50484142292757,-68.72128280788623
"",3,3622.692178329633,54.05180027227041,-2809.907151104251,-156.30113785195408,78.32593187401277,212.5239864055364,-68.8411626521277
"",3,3622.282803685457,57.26886151222492,-2809.927597729439,-155.9909053424217,78.13011160883549,208.67758540671,-68.83425097987116
"",3,3623.2115229619294,62.561830139465705,-2810.8110758971943,-156.1918409088377,83.4686672543179,206.75814637367841,-68.79098714731296
"",3,3621.7742365870254,63.31599854034831,-2809.3110645391603,-155.85273393827765,80.91943019431417,206.81698264783395,-68.77686959458063
"",3,3623.4097755820458,55.7608374714367,-2810.419864949767,-156.24352854704702,83.8135601866791,208.58490527758192,-68.95390423569039
