"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",300,3571.011247817622,47.93384627820113,-2800.9042570017436,-157.01416140125357,75.30700356183712,192.90721440528208,-69.4339473700303
"error",0,0.5964056926152901,"",16.99919897529238,0.08578516463966808,1.7977809047137372,43.009350075042306,2.698886991774125
"",300,3571.394655542006,49.78853848083804,-2801.6945770362836,-157.00547537429654,75.44351148445475,214.17051608324695,-69.77796972649097
"",300,3571.519859152498,43.91211351441468,-2800.582808059615,-157.02914230757565,74.62793331280182,186.32555920421012,-69.3315875552118
"",300,3571.4763003555922,47.74531627959722,-2800.474369137802,-156.99604464636468,74.80126280511102,180.4615784258141,-69.79617440109752
"",300,3571.2668789210934,51.732304431374885,-2801.351531236322,-157.00883505845243,75.40100645384013,188.06719051874975,-69.32360802173179
"",300,3570.7851509929937,49.23268134910043,-2801.8022180588737,-157.00937685842277,75.00263190010863,188.1966417531872,-69.25455548470822
"",300,3570.174187637315,46.93979497847782,-2799.5655225946916,-157.00365231761853,76.03886780387936,182.58749169408247,-69.10300880278794
"",300,3570.885643690277,44.0929908430183,-2800.804192025544,-157.0549894561693,75.74129022901462,190.67116319663972,-69.23792225042489
"",300,3570.587306249199,50.02703034878775,-2800.958837864817,-157.0057751911289,75.39952450548665,212.77757436632618,-69.64675271778916
