"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",250,4090.02921458652,32.39939724009323,-2968.51937742672,-218.6493271811969,-292.6025291270349,-740.6948546506062,-97.99088222881568
"error",0,0.1382425459425769,"",10.039321665347366,0.022685075002535034,0.5345536662790674,21.312014562388566,1.7881549684061517
"",250,4089.9481953528475,29.975049375175182,-2971.12154016923,-218.66679168527756,-292.7053739133814,-745.5909633465885,-97.44415178185399
"",250,4090.42935344912,31.380017288212663,-2968.2325644033267,-218.63456583812837,-291.90048254012424,-739.2524037069795,-98.02579792506509
"",250,4090.409761056504,29.70348683716628,-2966.233992824339,-218.64840266656256,-292.4921390049357,-734.6935393802449,-98.39291543875362
"",250,4090.3854403216683,32.78623934236639,-2968.0025973197276,-218.61877845513447,-292.17665680133115,-739.5272615359095,-98.06159693608267
"",250,4089.7478186249996,35.02306988640244,-2965.107511570889,-218.6655776498867,-292.8005140253242,-735.0292882748706,-98.60439205786109
"",250,4089.9597815126017,37.46290602990668,-2972.800639093073,-218.68791634408464,-293.1289632357618,-749.5068396894717,-97.30733520026567
"",250,4089.454868776416,34.835834318959655,-2970.1324664831113,-218.63675641396185,-292.136328705156,-745.6890931156275,-97.69248105950473
"",250,4089.8984975980043,28.02857484255658,-2966.5237075500636,-218.63582839653907,-293.479774790265,-736.2694481551581,-98.3983874311385
