"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",200,4090.1122339722606,58.93533918908129,-2974.682433702374,-218.75953666870745,-294.80674187565086,-754.4497550410437,-97.05030649806183
"error",0,0.2578534954713644,"",7.414184911071972,0.0409385251416184,0.8221572076905193,23.313244077407564,1.226893682219306
"",200,4090.358598807902,58.4030526495136,-2974.639339849749,-218.7477761289042,-295.091451854524,-754.0371839880257,-97.01749440694782
"",200,4090.4177313393616,59.102566936296675,-2974.9568319774075,-218.72271225230327,-294.9816038323504,-756.1071623066476,-96.9581531376212
"",200,4090.4719925596046,59.83004208443312,-2973.759192715701,-218.78929425970588,-295.1428020076707,-752.7640477436427,-97.35776735235522
"",200,4090.5890687098663,54.17870630963926,-2975.2480253320327,-218.75889008734535,-294.4746872966229,-754.9635080895664,-96.9285826797344
"",200,4089.8048209013054,58.13969409373573,-2977.6752876894743,-218.7796508491691,-294.80981345440654,-765.4402148154953,-96.87513263912341
"",200,4089.6354414119564,63.18780941540018,-2973.930696779906,-218.73599927803554,-295.1398968063516,-751.6743482108909,-96.8431245724662
"",200,4089.810092005903,61.463530813170074,-2973.1029539496676,-218.7760861876452,-294.58786596281595,-750.2866221072819,-97.17287204319216
"",200,4089.8101260421836,57.17731121046171,-2974.1471413250533,-218.7658843065512,-294.2258137904645,-750.3249530667989,-97.24932515305436
