"","voltage","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",275,4090.073180104988,30.059596062040878,-2975.850605771274,-218.6268571453245,-292.1680261858726,-753.109467576445,-96.85990996793588
"error",0,0.13466149738533117,"",6.3165693425746845,0.022573438051406162,0.4867009704347075,20.045524934057653,1.0124860269412685
"",275,4090.425642033086,41.44381195149805,-2975.406592933705,-218.6211797869133,-292.10127988740464,-752.6374224029294,-96.81051063448415
"",275,4090.3675580218164,28.194906550432083,-2975.326374879844,-218.6253802694221,-291.6742541864976,-752.454468891545,-96.78533636458506
"",275,4090.3619267620857,27.561364407876265,-2975.63224579198,-218.62398761968714,-291.66299449187204,-751.8001561620233,-96.75289867450158
"",275,4090.8568186587136,32.56874761566304,-2976.0837179121913,-218.6389234439136,-293.59772037898085,-752.9801354985279,-96.95123199613782
"",275,4089.5210429063636,27.337302137265503,-2976.370552175646,-218.6148254187688,-292.00146274993494,-753.5245191227626,-96.95841250907564
"",275,4089.647039461292,29.60565714213232,-2975.712026139751,-218.6358087025807,-292.7432901257033,-753.8593937350466,-96.83077861889112
"",275,4089.626179536968,26.967537384480085,-2975.914294981724,-218.61861723926827,-291.4972461181009,-752.4641352380261,-96.85699288997888
"",275,4089.7792334595783,26.797441306979657,-2976.3590413553484,-218.63613468204187,-292.0659615484858,-755.155509560699,-96.93311805583274
