"","Voltage","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",300,4089.987287594621,26.65166985798341,-2975.992915355438,-218.65648747685327,-292.7719216517831,-752.7901206223855,-96.8522607284316
"error",0,0.15682513452151736,"",6.136079069770786,0.030651954383905024,0.6044148117418939,18.290901508557265,1.0128749795299192
"",300,4090.15616364372,19.165704183183273,-2976.4357481544707,-218.67283954496858,-292.5188953293194,-752.8411600500375,-96.90988062169473
"",300,4090.201438653817,15.285846938019306,-2975.601072799046,-218.6920207574547,-293.4814977398,-749.1951538561444,-96.72454721777542
"",300,4090.207757967636,16.4498189787208,-2975.6080760221744,-218.65539512013063,-291.8170019239412,-750.2320604720502,-96.74407686661516
"",300,4090.8652090286987,35.88624020146636,-2976.633215091897,-218.61323974586867,-293.1614130067884,-755.4163044823266,-96.89412110234977
"",300,4089.314576380439,22.996634242235025,-2975.4769772299246,-218.69195723649506,-292.83876810261484,-750.9851292714974,-96.86763683584319
"",300,4089.758383779433,31.847674724262745,-2976.5067035240145,-218.63840090738373,-292.5003013828452,-754.7068684208618,-96.89589701450548
"",300,4089.5805111711843,44.40464887253489,-2975.1699169515464,-218.62644425962745,-292.55745470657473,-754.0872857887996,-96.83984582117506
"",300,4089.8142601320387,27.176790723444903,-2976.5116130704328,-218.6616022428972,-293.30004102238144,-754.8570026373668,-96.94208034749401
