"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",300,4089.402575024077,35.03497935592899,-2974.989738583586,-218.64238109147342,-291.9621659948662,-751.7461554044136,-96.95467297704366
"error",0,0.15249813512865737,"",7.421942768654855,0.023806576441957134,0.5385945014922887,24.910610065506,1.2474724681482
"",300,4089.779174596892,45.74590522199205,-2974.2345343315587,-218.62773444397467,-292.03394142773635,-749.9907809187215,-96.98693426091124
"",300,4089.9114248963806,36.30402422671233,-2975.8523476699925,-218.62445128746876,-291.6542036761055,-754.0384084049045,-96.99525749411728
"",300,4089.7239717321663,46.82569494444364,-2975.117662509848,-218.68256476493414,-292.3282196514812,-755.1251533978112,-97.08193836647847
"",300,4089.803301576836,25.13756240769982,-2975.6311638573757,-218.62085626359993,-292.01918128835297,-746.6629114857511,-96.72921805456788
"",300,4089.1570233523303,32.08894778099509,-2974.194987940705,-218.63158913987,-292.2120148565263,-751.4767618290389,-97.1578009877336
"",300,4088.857899855546,33.08447652543497,-2974.6295422852477,-218.70286849584315,-292.4224226289497,-751.0521925758812,-96.90751481775094
"",300,4089.0037780051284,26.741838599895306,-2975.071408878137,-218.62443642561496,-290.9500229983775,-754.2337218174159,-96.89975342761964
"",300,4088.984026177338,34.35138514025869,-2975.186261195825,-218.6245479104818,-292.0773214314003,-751.3893128057833,-96.87896640717022
