"","saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",5,4090.1907265853497,35.12669211950579,-2975.855496734281,-218.61775098240287,-292.1091451129501,-752.1973933763113,-96.84259630134899
"error",0,0.16465959954931753,"",4.185978750440525,0.02602891568954634,0.5947737222277985,14.623680201984133,0.7041719677287411
"",5,4090.5291241307614,39.46554966871977,-2976.4459458108154,-218.60280435156963,-291.74409104534186,-753.588500189179,-96.86474079019045
"",5,4090.4427453600947,31.121161217917454,-2975.807447021407,-218.59425327560865,-291.4782228984893,-750.6803590336614,-96.74795978319999
"",5,4090.2610468766356,35.687099979943696,-2976.0693321402996,-218.66096820968525,-291.88904340314826,-752.3341672168681,-96.88779752491537
"",5,4091.0800896954424,36.5378193392209,-2975.981783798771,-218.64601356056968,-292.5170228631487,-756.0683955476162,-96.82984908054857
"",5,4089.8313914435803,38.591496307876795,-2975.6185883608473,-218.61103098528787,-292.36076474653095,-751.6540234003347,-96.87591231960236
"",5,4090.01257374151,43.745898487994495,-2975.4003320169454,-218.61530380334847,-292.4275545051864,-751.1236053931915,-96.87551609273737
"",5,4089.630333016717,20.359051463366015,-2975.757121408244,-218.61964405684682,-292.2693578539767,-751.0201741737269,-96.83039734305136
"",5,4089.738508418057,35.50546049100719,-2975.763423316918,-218.59198961630642,-292.18710358777827,-751.1099220559133,-96.82859747654643
